拵 Dồn
拷 Khỉu
拼 Phanh
拽 Dìa
拾 Thập
拿 Nã
持 Trì
挂 Quẩy
挃 Chọi
挄 Quăng
挅 Xoá
指 Chỉ
按 Án
挌 Cách Rắc Gác
挍 Gieo
挏 Rùng
挑 Vẹo
挒 Trét
挕 Nhẹ
挗 Dí
挪 Ná
挫 Doạ
挬 Vọt
挭 Gánh
振 Chấn
挰 Dềnh
挴 Mói
挵 Lỏng
挷 Văng
挸 Kén
挹 Úp
挼 Noa Nỗi
挾 Xáp
挿 Thọc
捁 Kéo
捃 Khuân
捅 Thòng
捇 Xách
捈 Giơ
捉 Tróc
捌 Bịt
捍 Cản
捐 Quyên Quen Quên
捕 Bõ
捘 Thoa
捛 Trã
捠 Banh
捤 Vãi
捥 Uốn
捧 Bổng
捨 Xả
据 Cứ
捱 Nhay
捲 Cuốn
捷 Tiệp
捺 Nài
捻 Nạm
捽 Lót
掂 Giếm
掃 Tảo
掇 Suốt
授 Thụ
掉 Trao
掏 Đào
掑 Cài
排 Bài
掘 Quật
掙 Tránh
掛 Quẩy
掠 Lướt
採 Thái
探 Thám
掣 Xiết
接 Tiếp
控 Khống
推 Suy
掩 Ém
措 Thố
掬 Cúc
掮 Khiêng
掿 Nhắc
揀 Gióng
揁 Rinh
揂 Dùa
揆 Quẫy
描 Miêu
提 Đề
插 Chắp
揕 Chạm
揖 Ập
揚 Dương
揞 Ẵm
揬 Dụt
揭 Yết
揮 Huy
揳 Khế
援 Viện
揾 Ùn
搆 Cấu
搈 Dong
搊 So
損 Tốn
搎 Dun
搏 Vác
搓 Sai
搔 Trao
搖 Gieo
搗 Đẽo
搛 Gom
搜 Sưu
搝 Xỏ
搞 Cào
搬 Bưng
搭 Đắp
搮 Lắt
摓 Bồng
摘 Trích
摙 Lèn
摟 Lùa
摪 Rướn
摱 Mần
摳 Khua
摸 Mò
摹 Mò
摺 Dập
摼 Ken
撅 Quét
撈 Lau
撌 Quấy
撎 Nhắt
撑 Xênh
撒 Tát
撓 Nhéo
撔 Ngảnh
撝 Vày
撞 Chàng
撟 Kéo
撢 Đùm
撤 Triệt
撩 Lêu
撫 Vỗ
播 Vá
撮 Toát
撰 Soạn
撲 Vục
撴 Đun
擃 Nống
擅 Chen
擇 Trạch
擉 Thọc
據 Cớ
擛 Dẹp
擦 Xát
擬 Nghĩ
擱 Gác
擲 Trịch
擴 Quẳng
擸 Xợp
擺 Bẫy
擼 Trỏ
擾 Nhiễu
攄 Lựa
攏 Long
攑 Gỡ
攔 Dan
攘 Nhường
攙 Sọm
攜 Huề
攝 Nhép
攞 Rà
攤 Nặn
攬 Lãm
攮 Nện
支 Chi
收 Thu
攷 Khảo
攻 Công
放 Phóng
政 Chính
故 Cố
效 Hiệu
敏 Mẫn
救 Cứu
敕 Sắc
敖 Ngào
敗 Bại
敘 Tự
教 Giáo
敝 Tệ
敢 Cám
散 Tản
敦 Đôn
敬 Kính
敲 Xao
整 Chỉnh
敵 Địch
數 Số
文 Văn
斎 Trai
斐 Phỉ
斗 Đấu
料 Liệu
斜 Tà
斟 Châm
斤 Cân
斥 Xịch
斧 Búa
斬 Trảm
断 Đoạn
新 Tân
方 Phương
於 Ư
施 Thi
旁 Bàng
旅 Lữ
旋 Toàn
旌 Tinh
族 Tộc
旗 Cờ
旛 Phướn
日 Nhật
旦 Đán
旨 Chỉ
早 Tảo
旭 Hóc
旱 Hạn
旴 Hù
旺 Vượng
昂 Ngang
昆 Con
昇 Thăng
明 Minh
昏 Hôn
易 Dịch
昔 Tích
昛 Cữ
星 Tinh
映 Ánh
昧 Muội
是 Thị
時 Thì
晃 Quáng
晄 Hoáng
晚 Vãn
晤 Cữ
晦 Hổi
晨 Thần
普 Phổ
景 Cảnh
晴 Tạnh
晶 Tinh
智 Trí
暄 Huyên
暇 Hạ
暈 Vừng
暗 Ám
暢 Sướng
暫 Tạm
暮 Mộ
暴 Bạo
暹 Xiêm
曀 Ế
曆 Lịch
曉 Hẻo
曖 Áy
曚 Mồng
曠 Khoảng
曥 Trưa
曩 Nán
曰 Viết
